MSN,YYYYMM,Description,Unit,Category,Pred
CLEIEUS,197805,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,74.201
CLEIEUS,197806,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,81.372
CLEIEUS,197807,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,88.003
CLEIEUS,197808,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,91.836
CLEIEUS,197809,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,85.066
CLEIEUS,197810,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,79.494
CLEIEUS,197811,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,79.291
CLEIEUS,197812,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,87.107
CLEIEUS,197813,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,959.916
CLEIEUS,197901,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,93.946
CLEIEUS,197902,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,83.91
CLEIEUS,197903,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,83.689
CLEIEUS,197904,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,78.077
CLEIEUS,197905,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,83.19
CLEIEUS,197906,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,88.15
CLEIEUS,197907,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,96.579
CLEIEUS,197908,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,97.246
CLEIEUS,197909,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,84.463
CLEIEUS,197910,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,86.071
CLEIEUS,197911,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,86.09
CLEIEUS,197912,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.293
CLEIEUS,197913,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1055.704
CLEIEUS,198001,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,100.568
CLEIEUS,198002,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.862
CLEIEUS,198003,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,93.21
CLEIEUS,198004,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,81.245
CLEIEUS,198005,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,82.785
CLEIEUS,198006,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,91.484
CLEIEUS,198007,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.126
CLEIEUS,198008,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,106.245
CLEIEUS,198009,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.662
CLEIEUS,198010,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,90.03
CLEIEUS,198011,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,91.239
CLEIEUS,198012,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,102.138
CLEIEUS,198013,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1136.594
CLEIEUS,198101,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,108.164
CLEIEUS,198102,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.766
CLEIEUS,198103,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.724
CLEIEUS,198104,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,86.386
CLEIEUS,198105,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,89.002
CLEIEUS,198106,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,99.05
CLEIEUS,198107,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,111.044
CLEIEUS,198108,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,107.758
CLEIEUS,198109,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.891
CLEIEUS,198110,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.541
CLEIEUS,198111,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,92.986
CLEIEUS,198112,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,105.056
CLEIEUS,198113,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,1180.367
CLEIEUS,198201,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,113.136
CLEIEUS,198202,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,97.313
CLEIEUS,198203,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,95.335
CLEIEUS,198204,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,86.587
CLEIEUS,198205,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,90.83
CLEIEUS,198206,Coal Electric Power Sector CO2 Emissions,Million Metric Tons,1,94.419
